Код заказа,Станция старта,Станция финиша,Расчетная дата старта,Плановая дата старта,Время в пути,Мин допустимый объем,Запрошенный объем,Тарифы,Запрошенный тип вагона,Приоритет,Примененный тариф
304783_818227942105_0709,946801,942105,2,2,14,3,3,10395,2011,4,10395
305149_819002942105_0709,946801,942105,2,2,14,3,3,25768,2011,4,25768
303139_830582944702_0709,946801,944702,3,3,13,4,4,8550,2025,4,8550
303933_830578944702_0709,946801,944702,3,3,13,2,2,8550,2025,4,8550
303977_816575828501_0709,800008,828501,3,3,13,3,3,9749,2003,4,9749
305170_830580944702_0709,946801,944702,3,3,13,2,2,8550,2025,4,8550
303071_814704942105_0709,946801,942105,3,3,14,2,2,25768,2011,4,25768
303128_814819888004_0709,891806,888004,3,3,15,4,4,20892,2003,4,20892
303941_821550780302_0709,659006,780302,3,3,15,3,3,23089,2005,4,23089
307783_828550852106_0709,843200,852106,3,3,15,4,4,12960,2004,4,12960
305207_819137520901_0709,611602,520901,3,3,15,3,3,48335,2032,3,48335
303111_830571942105_0709,946801,942105,3,3,17,2,2,25768,2011,4,25768
302998_814587696102_0709,882506,696102,3,3,19,2,2,56348,2087,4,56348
305208_819138180504_0709,104303,180504,3,3,19,4,4,32466,2011,4,32466
302671_813905801301_0709,191509,801301,3,3,19,2,2,28922,2002,3,28922
302578_830448885805_0709,946801,885805,3,3,20,2,2,9851,2011,4,9851
302578_830449885805_0709,946801,885805,3,3,20,2,2,9851,2011,4,9851
303033_814638851207_0709,194507,851207,3,3,20,2,2,57283,2291,4,57283
306542_827387840109_0709,644803,840109,3,3,20,4,4,67569,2291,4,67569
304408_817422226407_0709,946801,226407,3,3,28,3,3,29160,2011,4,29160
304777_818216747605_0709,891806,747605,3,3,31,3,3,40470,2087,4,40470
303111_830571942105_0710,946801,942105,3,3,17,4,4,25768,2011,4,25768
303933_830578944702_0710,946801,944702,4,4,13,4,4,8550,2025,4,8550
305170_830580944702_0710,946801,944702,4,4,13,2,2,8550,2025,4,8550
302577_813709942105_0710,946801,942105,4,4,14,2,2,25768,2032,4,25768
302662_813890942105_0710,946801,942105,4,4,14,8,8,10395,2025,4,10395
303462_830575942105_0710,946801,942105,4,4,14,4,4,25768,2011,4,25768
303462_830576942105_0710,946801,942105,4,4,14,4,4,25768,2011,4,25768
304337_828864949509_0710,946801,949509,4,4,14,2,2,6300,2011,4,6300
304783_818227942105_0710,946801,942105,4,4,14,5,5,10395,2011,4,10395
303941_821550780302_0710,659006,780302,4,4,15,4,4,23089,2005,4,23089
306035_822509892103_0710,850401,892103,4,4,15,2,2,25947,2032,4,25947
306445_823999853109_0710,654701,853109,4,4,18,8,8,37936,2004,4,37936
303513_825987180504_0710,100001,180504,4,4,19,4,4,32466,2011,4,32466
305208_819138180504_0710,104303,180504,4,4,19,2,2,32466,2011,4,32466
302671_813905801301_0710,191509,801301,4,4,19,2,2,28922,2002,3,28922
302201_812940950008_0710,932103,950008,4,4,20,2,2,49858,2039,4,49858
304305_817244233608_0710,245709,233345,4,4,20,2,2,26227,2290,4,26227
306019_822456780603_0710,932902,780603,4,4,20,3,3,26773,2003,4,26773
308302_830603531304_0710,520901,531304,4,4,20,5,5,21739,2010,4,21739
302579_813711840109_0710,946801,840109,4,4,21,2,2,50396,2025,4,50396
302628_821544677008_0710,659006,677008,4,4,23,2,2,45581,2089,4,45581
305174_819069942105_0710,946801,931401,4,4,23,3,3,15639,2011,4,15639
303503_815558890907_0710,840109,888004,4,4,25,4,4,12646,2031,4,12646
305594_820875933801_0710,840109,931401,4,4,25,6,6,25564,2033,4,25564
302628_821525700007_0710,659006,700007,4,4,26,6,6,50189,2089,4,50189
302628_821541700204_0710,659006,700204,4,4,26,2,2,50524,2089,4,50524
306816_825057639608_0710,35508,635607,4,4,26,2,2,26297,2005,4,26297
305747_821484947005_0710,883809,947005,4,4,36,4,4,31137,2002,4,31137
302287_813117625107_0711,620508,625107,4,4,13,7,7,9616,2003,4,9616
305208_819138180504_0708,104303,180504,5,5,19,2,2,32466,2011,4,32466
305165_819048680509_0710,10303,680509,5,5,27,5,5,44775,2088,4,44775
302258_813045318401_0710,946801,318401,5,5,28,2,2,29160,2011,4,29160
303128_814823889100_0711,891806,889100,5,5,13,7,7,13358,2003,4,13358
303139_830582944702_0711,946801,944702,5,5,13,7,7,8550,2025,4,8550
303933_830578944702_0711,946801,944702,5,5,13,7,7,8550,2025,4,8550
303953_816495253508_0711,644708,253508,5,5,13,7,7,32238,2284,4,32238
303955_816499644803_0711,657907,644803,5,5,13,7,7,9616,2003,4,9616
303977_816575828501_0711,800008,828501,5,5,13,8,8,9749,2003,4,9749
305170_830580944702_0711,946801,944702,5,5,13,9,9,8550,2025,4,8550
303071_814704942105_0711,946801,942105,5,5,14,2,2,25768,2011,4,25768
303462_830575942105_0711,946801,942105,5,5,14,2,2,25768,2011,4,25768
303462_830576942105_0711,946801,942105,5,5,14,6,6,25768,2011,4,25768
303964_830572942105_0711,946801,942105,5,5,14,2,2,25768,2011,4,25768
303941_821550780302_0711,659006,780302,5,5,15,3,3,23089,2005,4,23089
304384_817373780209_0711,252401,780209,5,5,15,4,4,39198,2289,4,39198
304677_817988284101_0711,310109,284101,5,5,15,2,2,9616,2002,3,9616
307028_825756191509_0711,311807,191509,5,5,15,4,4,37290,2003,1,37290
303863_816263402000_0711,592204,402000,5,5,18,2,2,6789,2087,4,6789
303911_816384192906_0711,20502,192906,5,5,18,2,2,26612,2004,4,26612
304767_818173036905_0711,648202,36905,5,5,18,4,4,47313,2003,4,47313
303520_815583669209_0711,612107,669209,5,5,18,4,4,23465,2118,3,23465
301659_811179194507_0711,102901,194507,5,5,19,2,2,47449,2004,4,47449
302628_821524690200_0711,659006,690200,5,5,19,7,7,33557,2089,4,33557
305208_819138180504_0711,104303,180504,5,5,19,2,2,32466,2011,4,32466
307822_828751284008_0711,611602,284008,5,5,19,11,11,47068,2284,4,47068
302677_813923799309_0711,612003,799309,5,5,21,3,3,73052,2003,1,73052
304395_817400853109_0711,32406,853109,5,5,22,4,4,43279,2001,4,43279
305174_819069942105_0711,946801,931401,5,5,23,3,3,15639,2011,4,15639
303549_815649800205_0711,438603,804808,5,5,24,2,2,78422,2010,4,78422
305594_820875933801_0711,840109,931401,5,5,25,2,2,25564,2033,4,25564
304341_817294756801_0711,801208,756801,5,5,26,3,3,76939,2340,4,76939
305747_821484947005_0711,883809,947005,5,5,36,3,3,31137,2002,4,31137
306935_825422018502_0712,19007,18502,5,5,12,6,6,11880,2002,1,11880
302201_812941937003_0712,932103,937003,5,5,13,4,4,53514,2039,4,53514
303139_830582944702_0712,946801,944702,5,5,13,12,12,8550,2025,4,8550
303872_823268944702_0712,946801,944702,5,5,13,4,4,8550,2011,4,8550
303933_830578944702_0712,946801,944702,5,5,13,8,8,8550,2025,4,8550
303955_816499644803_0712,657907,644803,5,5,13,2,2,9616,2003,4,9616
303977_816575828501_0712,800008,828501,5,5,13,2,2,9749,2003,4,9749
304753_818142230506_0712,234808,230506,5,5,13,3,3,16138,2002,4,16138
305170_830580944702_0712,946801,944702,5,5,13,8,8,8550,2025,4,8550
308267_830476944702_0712,946801,944702,5,5,13,2,2,8550,2011,4,8550
308267_830478944702_0712,946801,944702,5,5,13,2,2,8550,2011,4,8550
289315_751647657705_0712,606303,657705,5,5,14,2,2,22573,2010,4,22573
302577_813709942105_0712,946801,942105,5,5,14,3,3,25768,2032,4,25768
302662_813890942105_0712,946801,942105,5,5,14,5,5,10395,2025,4,10395
303071_814704942105_0712,946801,942105,5,5,14,4,4,25768,2011,4,25768
303462_830575942105_0712,946801,942105,5,5,14,3,3,25768,2011,4,25768
303964_830572942105_0712,946801,942105,5,5,14,7,7,25768,2011,4,25768
304337_828863949509_0712,946801,949509,5,5,14,3,3,6300,2011,4,6300
304337_828864949509_0712,946801,949509,5,5,14,4,4,6300,2011,4,6300
304783_818227942105_0712,946801,942105,5,5,14,8,8,10395,2011,4,10395
305164_819044801405_0712,650700,801405,5,5,14,3,3,30807,2291,4,30807
308264_830468942105_0712,946801,942105,5,5,14,3,3,25768,2011,4,25768
303128_814819888004_0712,891806,888004,5,5,15,2,2,20892,2003,4,20892
303899_816350774405_0712,648109,774405,5,5,15,2,2,34682,2003,4,34682
303941_821550780302_0712,659006,780302,5,5,15,4,4,23089,2005,4,23089
307783_828550852106_0712,843200,852106,5,5,15,4,4,12960,2004,4,12960
303450_815439184100_0712,439305,184100,5,5,15,2,2,21108,2007,3,21108
305207_819137520901_0712,611602,520901,5,5,15,3,3,48335,2032,3,48335
303115_814784544501_0712,618207,544501,5,5,15,2,2,31494,2018,1,31494
286916_746816946801_0712,932103,946801,5,5,16,2,2,62738,2032,4,62738
303467_815495610703_0712,652602,610703,5,5,16,2,2,27554,2003,4,27554
302267_813062942105_0712,946801,942105,5,5,17,7,7,25768,2011,4,25768
303111_830571942105_0712,946801,942105,5,5,17,7,7,25768,2011,4,25768
303953_823543521001_0712,644708,521001,5,5,17,2,2,43400,2284,4,43400
304701_818031510401_0712,235707,510401,5,5,17,2,2,30502,2037,4,30502
305128_818956261203_0712,805707,261203,5,5,17,11,11,34832,2003,4,34832
307668_827819690002_0712,651807,690002,5,5,17,2,2,28705,2088,4,28705
302271_813088911605_0712,60302,911605,5,5,30,2,2,52676,2005,4,52676
302255_813042722400_0712,302304,722400,5,5,31,2,2,75139,2085,1,75139
304378_817357844307_0712,954704,851809,5,5,32,2,2,15313,2026,4,15313
305145_818998946208_0712,846105,931401,5,5,32,2,2,17362,2039,4,17362
306019_822456780603_0708,932902,780603,6,6,20,2,2,26773,2003,4,26773
304337_828863949509_0711,946801,949509,6,6,14,2,2,6300,2011,4,6300
304783_818227942105_0711,946801,942105,6,6,14,2,2,10395,2011,4,10395
308264_830468942105_0711,946801,942105,6,6,14,11,11,25768,2011,4,25768
307865_828899200002_0711,196606,200002,6,6,14,4,4,14040,2002,1,14040
308142_829974593300_0711,625501,593300,6,6,14,2,2,31917,2032,1,31917
281647_828739800205_0711,249409,800205,6,6,15,4,4,27927,2038,4,27927
303953_816496800101_0712,644708,800101,6,6,15,2,2,38959,2284,4,38959
304384_817373780209_0712,252401,780209,6,6,15,17,17,39198,2289,4,39198
305152_819008911408_0712,954704,911408,6,6,15,2,2,17357,2019,4,17357
305164_819041774405_0712,650700,774405,6,6,15,2,2,34610,2291,4,34610
306707_824626892103_0712,932103,892103,6,6,15,2,2,15120,2040,4,15120
307530_827263617806_0712,200500,617806,6,6,16,4,4,30985,2002,1,30985
308014_829485920002_0712,943108,920002,6,6,17,2,2,45882,2004,4,45882
304405_817417300107_0712,289503,300107,6,6,17,2,2,42008,2002,3,42008
303983_816599652706_0712,280904,652706,6,6,17,2,2,22581,2003,1,22581
306556_824227525407_0712,194009,525407,6,6,17,7,7,48993,2254,1,48993
306759_824907870405_0712,785109,870405,6,6,17,4,4,26020,2004,1,26020
306767_824929870405_0712,785607,870405,6,6,17,2,2,53609,2004,1,53609
302282_813110035508_0712,597104,35508,6,6,18,3,3,30405,2003,4,30405
302574_813697840005_0712,926403,840005,6,6,18,2,2,29731,2004,4,29731
302574_813699935506_0712,926403,935506,6,6,18,3,3,63319,2004,4,63319
303083_814723520901_0712,652602,520901,6,6,18,2,2,30333,2003,4,30333
303863_816263402000_0712,592204,402000,6,6,18,3,3,6789,2087,4,6789
304746_818134770300_0712,205307,770300,6,6,18,3,3,39520,2030,4,39520
304774_827464607607_0712,826402,607607,6,6,18,2,2,43051,2003,4,43051
304778_818217794305_0712,60406,794305,6,6,18,2,2,33766,2002,4,33766
305128_818955225902_0712,805707,225902,6,6,18,6,6,32858,2003,4,32858
305164_819043853306_0712,650700,853306,6,6,18,3,3,57419,2291,4,57419
306445_823999853109_0712,654701,853109,6,6,18,2,2,37936,2004,4,37936
306445_824002290206_0712,654701,290206,6,6,18,2,2,63007,2004,4,63007
306450_824018780603_0712,42003,780603,6,6,18,3,3,68556,2259,4,68556
306559_824252035508_0712,248603,35508,6,6,18,4,4,29599,2002,4,29599
307630_827613792102_0712,190205,792102,6,6,18,7,7,18230,2002,4,18230
302218_812966780800_0712,198404,780800,6,6,18,10,10,48898,2006,3,48898
303103_814763780800_0712,196803,780800,6,6,18,4,4,32593,2254,3,32593
304360_817325018606_0712,231000,18606,6,6,18,6,6,43676,2002,3,43676
305151_819006780001_0712,193805,780001,6,6,18,3,3,42105,2005,3,42105
306646_830077287805_0712,194206,287805,6,6,18,3,3,37386,2002,3,37386
304380_829943289904_0712,305007,289904,6,6,18,3,3,42242,2255,1,42242
306759_824908890502_0712,785109,890502,6,6,18,2,2,63167,2004,1,63167
306933_829920275300_0712,14906,275300,6,6,18,4,4,38725,2002,1,38725
296014_772919289503_0712,195800,289503,6,6,19,2,2,65975,2019,4,65975
302612_822390532909_0712,235507,532909,6,6,19,3,3,47113,2002,4,47113
302626_813799180504_0712,104801,180504,6,6,19,6,6,31955,2011,4,31955
302628_821524690200_0712,659006,690200,6,6,19,6,6,33557,2089,4,33557
302628_821543690002_0712,659006,690002,6,6,19,6,6,33557,2089,4,33557
302700_813970696102_0712,780603,696102,6,6,19,2,2,42933,2110,4,42933
303478_825998289503_0712,194009,289503,6,6,19,19,19,57745,2005,4,57745
304316_817256946801_0712,893500,946801,6,6,19,2,2,55080,2040,4,55080
304724_829827289904_0712,192107,289904,6,6,19,2,2,57434,2002,4,57434
306773_824936831203_0712,194206,831203,6,6,19,4,4,70884,2012,4,70884
307054_826598696206_0712,800605,696206,6,6,19,2,2,35287,2339,4,35287
308198_830150289904_0712,191804,289904,6,6,19,2,2,51809,2002,4,51809
302671_813905801301_0712,191509,801301,6,6,19,4,4,28922,2002,3,28922
307984_829407289904_0712,229602,289904,6,6,19,6,6,19440,2003,3,19440
304293_817216792102_0712,198508,792102,6,6,19,3,3,59396,2257,1,59396
304775_824967780603_0712,30006,780603,6,6,19,4,4,39336,2257,1,39336
281647_828750888004_0712,249409,888004,6,6,20,3,3,41077,2038,4,41077
294762_770473850505_0712,230309,850505,6,6,20,3,3,47635,2019,4,47635
301846_812138547001_0712,630209,547001,6,6,20,3,3,61879,2341,4,61879
302201_812940950008_0712,932103,950008,6,6,20,3,3,49858,2039,4,49858
302285_813114803909_0712,38205,803909,6,6,20,2,2,40016,2002,4,40016
302578_830448885805_0712,946801,885805,6,6,20,4,4,9851,2011,4,9851
302578_830449885805_0712,946801,885805,6,6,20,4,4,9851,2011,4,9851
303033_814638851207_0712,194507,851207,6,6,20,3,3,57283,2291,4,57283
303467_815487033004_0712,652602,33004,6,6,20,5,5,31096,2003,4,31096
303885_827306926403_0712,803203,926403,6,6,20,2,2,62693,2255,4,62693
304395_817397778406_0712,32406,778406,6,6,20,17,17,26519,2001,4,26519
304395_817401828501_0712,32406,828501,6,6,20,17,17,31355,2001,4,31355
306066_822615936903_0712,830304,936903,6,6,20,3,3,76731,2096,4,76731
306772_824935831203_0712,33409,831203,6,6,20,2,2,55832,2012,4,55832
308302_830603531304_0712,520901,531304,6,6,20,13,13,21739,2010,4,21739
306933_829919610101_0712,14906,610101,6,6,20,4,4,38725,2002,1,38725
302677_813923799309_0712,612003,799309,6,6,21,3,3,73052,2003,1,73052
302698_813962667909_0712,302304,667909,6,6,21,2,2,31226,2085,1,31226
304289_817210850204_0712,190008,850204,6,6,21,2,2,75454,2256,1,75454
304293_817217850204_0712,198508,850204,6,6,21,3,3,59396,2254,1,59396
302666_813896853109_0712,70709,853109,6,6,22,2,2,41385,2031,4,41385
302694_813956850204_0712,31808,850204,6,6,22,3,3,53689,2005,4,53689
304395_817400853109_0712,32406,853109,6,6,22,17,17,43279,2001,4,43279
304770_828670687008_0712,250707,687008,6,6,22,3,3,35512,2339,4,35512
305130_818965850308_0712,803307,851809,6,6,22,3,3,45974,2003,4,45974
305825_821817638003_0712,438506,635607,6,6,22,2,2,38894,2010,4,38894
306538_824200892103_0712,612107,892103,6,6,22,3,3,79058,2019,4,79058
247614_620859930108_0712,980605,930108,6,6,22,2,2,13472,2007,2,13472
303037_824961853109_0712,33004,853109,6,6,22,2,2,49346,2257,1,49346
304775_824966850204_0712,30006,850204,6,6,22,2,2,47111,2259,1,47111
303446_815434890004_0712,194009,890004,6,6,23,4,4,63907,2007,4,63907
304798_826989675303_0712,270306,675303,6,6,24,2,2,41911,2085,4,41911
305130_818963225902_0712,803307,226500,6,6,24,2,2,35726,2003,4,35726
305143_823946248504_0712,817102,244208,6,6,24,2,2,31803,2255,4,31803
305944_822181773101_0712,836103,793118,6,6,24,2,2,4292,2032,4,4292
308282_830545781305_0712,946801,781305,6,6,24,2,2,25636,2003,4,25636
303983_816598104801_0712,280904,104801,6,6,24,2,2,37892,2003,1,37892
304402_817413927105_0712,194009,927105,6,6,25,5,5,74859,2006,4,74859
304706_829316935703_0712,233608,935703,6,6,25,9,9,64207,2254,4,64207
302264_813058844307_0713,950101,844307,6,6,24,2,2,15843,2032,4,15843
302631_813813890907_0713,846001,888004,6,6,24,2,2,14100,2024,4,14100
302696_813958801208_0713,190900,804808,6,6,24,2,2,50851,2002,4,50851
303549_815649800205_0713,438603,804808,6,6,24,3,3,78422,2010,4,78422
304709_818050844307_0713,950101,844307,6,6,24,2,2,16070,2032,4,16070
305143_823949237609_0713,817102,233345,6,6,24,2,2,32250,2255,4,32250
305944_822181773101_0713,836103,793118,6,6,24,2,2,4292,2032,4,4292
306360_823802932103_0713,845403,931401,6,6,24,2,2,30009,2033,4,30009
304770_818180698606_0713,250707,698606,6,6,25,2,2,51125,2339,4,51125
303037_824960778406_0713,33004,778406,6,6,20,2,2,59798,2259,1,59798
302688_813940625107_0713,438406,627704,6,6,21,2,2,31388,2010,4,31388
304744_818132700007_0713,880106,700007,6,6,21,2,2,44378,2094,4,44378
305172_827610850204_0713,593300,850204,6,6,21,2,2,36500,2038,4,36500
305825_821818184100_0713,438506,200207,6,6,21,2,2,31811,2010,4,31811
305309_819650851207_0713,195800,851207,6,6,21,2,2,49473,2258,3,49473
302677_813923799309_0713,612003,799309,6,6,21,3,3,73052,2003,1,73052
304289_817210850204_0713,190008,850204,6,6,21,2,2,75454,2256,1,75454
302694_813956850204_0713,31808,850204,6,6,22,3,3,53689,2005,4,53689
304395_817400853109_0713,32406,853109,6,6,22,2,2,43279,2001,4,43279
305160_819035890108_0713,194403,890108,6,6,22,2,2,42018,2003,4,42018
305174_819069942105_0713,946801,931401,6,6,23,3,3,15639,2011,4,15639
308211_830436805302_0713,840109,804808,6,6,23,2,2,9477,2080,4,9477
308302_830603531304_0709,520901,531304,7,7,20,5,5,21739,2010,4,21739
302579_813711840109_0709,946801,840109,7,7,21,3,3,50396,2025,4,50396
304723_818080851207_0709,193701,851207,7,7,21,1,1,46661,2033,3,46661
302694_813956850204_0709,31808,850204,7,7,22,2,2,53689,2005,4,53689
304775_824966850204_0709,30006,850204,7,7,22,2,2,47111,2259,1,47111
305174_819069942105_0709,946801,931401,7,7,23,3,3,15639,2011,4,15639
305309_819649890004_0709,195800,890004,7,7,23,4,4,49473,2258,1,49473
303083_814727090505_0709,652602,90505,7,7,24,2,2,35774,2087,4,35774
306360_823802932103_0709,845403,931401,7,7,24,4,4,30009,2033,4,30009
302598_825856927105_0709,194102,927105,7,7,25,14,14,70136,2005,4,70136
303503_815556933801_0709,840109,931401,7,7,25,4,4,25564,2031,4,25564
303503_815558890907_0709,840109,888004,7,7,25,4,4,12646,2031,4,12646
302671_813905801301_0711,191509,801301,7,7,19,4,4,28922,2002,3,28922
307984_829407289904_0711,229602,289904,7,7,19,4,4,19440,2003,3,19440
302578_830448885805_0711,946801,885805,7,7,20,6,6,9851,2011,4,9851
302620_813787892103_0711,270306,892103,7,7,20,5,5,41488,2257,4,41488
304395_817397778406_0711,32406,778406,7,7,20,4,4,26519,2001,4,26519
304395_817401828501_0711,32406,828501,7,7,20,4,4,31355,2001,4,31355
308302_830603531304_0711,520901,531304,7,7,20,5,5,21739,2010,4,21739
303473_830701531003_0712,234102,531003,7,7,16,3,3,37797,2009,4,37797
303970_816559930108_0712,946801,930108,7,7,16,3,3,28079,2011,4,28079
305146_818999228402_0712,10905,228402,7,7,16,2,2,39006,2038,4,39006
305829_821828922008_0712,871408,922008,7,7,16,3,3,49104,2004,4,49104
307829_828798650005_0712,618207,650005,7,7,16,4,4,34808,2018,4,34808
308273_830494932809_0712,946801,932809,7,7,16,6,6,26224,2011,4,26224
302580_813712770300_0712,310607,770300,7,7,16,2,2,46864,2004,1,46864
303983_816596061502_0712,280904,61502,7,7,16,2,2,26744,2003,1,26744
303983_816602800402_0712,280904,800402,7,7,16,2,2,22500,2003,1,22500
303942_816476942105_0712,946801,931401,7,7,23,11,11,14077,2011,4,14077
304673_817981270306_0712,240902,244208,7,7,23,2,2,24957,2282,4,24957
304796_818271942105_0712,946801,931401,7,7,23,41,41,17969,2011,4,17969
305154_819010527008_0712,657705,527402,7,7,23,3,3,33570,2291,4,33570
305168_819055245709_0712,36801,244208,7,7,23,2,2,39746,2030,4,39746
305174_819069942105_0712,946801,931401,7,7,23,13,13,15639,2011,4,15639
308211_830436805302_0712,840109,804808,7,7,23,2,2,9477,2080,4,9477
308270_830483932809_0712,946801,931401,7,7,23,3,3,24761,2011,4,24761
304722_827005890004_0712,193805,890004,7,7,23,2,2,64324,2005,1,64324
305309_819649890004_0712,195800,890004,7,7,23,3,3,49473,2258,1,49473
302264_813058844307_0712,950101,844307,7,7,24,2,2,15843,2032,4,15843
302631_813813890907_0712,846001,888004,7,7,24,2,2,14100,2024,4,14100
303083_814724090505_0712,652602,90505,7,7,24,2,2,35774,2087,4,35774
305594_820875933801_0712,840109,931401,7,7,25,2,2,25564,2033,4,25564
308329_830651700308_0712,895008,700308,7,7,25,5,5,45562,2110,4,45562
307024_825749927105_0712,194009,927105,7,7,25,4,4,75478,2006,3,75478
305477_826920927105_0712,193701,927105,7,7,25,5,5,51607,2007,1,51607
308028_829577438302_0712,932902,438302,7,7,25,4,4,35013,2032,1,35013
303081_814715648503_0712,845600,651506,7,7,26,3,3,6821,2031,4,6821
306816_825057639608_0712,35508,635607,7,7,26,2,2,26297,2005,4,26297
308056_829644722400_0712,775605,722400,7,7,26,2,2,17291,2117,4,17291
303983_816609404503_0712,280904,404503,7,7,26,2,2,44555,2087,1,44555
302643_813842648503_0712,844307,651506,7,7,27,7,7,7706,2031,4,7706
302688_813936851207_0712,438406,851809,7,7,27,2,2,58738,2010,4,58738
303511_815571745807_0712,813402,745807,7,7,27,13,13,81824,2087,4,81824
304395_817398680509_0712,32406,680509,7,7,27,15,15,62630,2087,4,62630
305132_818969850204_0712,201700,851809,7,7,27,4,4,35602,2004,4,35602
305143_823947284101_0712,817102,318609,7,7,27,4,4,32575,2255,4,32575
305165_819048680509_0712,10303,680509,7,7,27,3,3,44775,2088,4,44775
305198_825935888305_0712,642102,888004,7,7,27,2,2,59801,2291,4,59801
305944_822179275704_0712,836103,244208,7,7,27,2,2,2917,2032,4,2917
306361_823808680509_0712,35809,680509,7,7,27,2,2,47799,2089,4,47799
306562_824258935506_0712,36801,935506,7,7,27,2,2,51125,2005,4,51125
302258_813045318401_0712,946801,318401,7,7,28,3,3,29160,2011,4,29160
304356_817315903204_0712,883809,931401,7,7,28,2,2,4006,2024,4,4006
304408_817421592204_0712,946801,592204,7,7,28,3,3,29160,2011,4,29160
304408_817422226407_0712,946801,226407,7,7,28,2,2,29160,2011,4,29160
304670_817978700100_0712,612003,700100,7,7,28,2,2,38426,2087,1,38426
288413_749811862305_0712,61502,851809,7,7,29,2,2,84770,2002,4,84770
303906_816376914209_0712,790906,914209,7,7,29,2,2,81764,2095,4,81764
