Отправление,Прибытие,Тип простоя,Модель вагона,День отправления (от начала расчета),День прибытия (от начала расчета),Количество,Цена порожнего пробега (за вагон),Код следующего заказa,Расчитанный тариф следующего заказа
438603,438506,P,2070,0,5.0,1,241,305825_821816888004_0711,-
18409,19007,P,2052,0,5.0,1,965,306935_825422018502_0712,-
18409,19007,P,2052,0,5.0,1,965,306935_825422018502_0712,-
18409,19007,P,2070,0,5.0,1,965,306935_825422018502_0712,-
18409,19007,P,2070,0,5.0,1,965,306935_825422018502_0712,-
18409,19007,P,2070,0,5.0,1,965,306935_825422018502_0712,-
932809,932103,P,2052,0,5.0,1,1596,302201_812941937003_0712,-
930108,932103,P,2043,0,5.0,1,1391,302201_812941937003_0712,-
932207,932103,P,2052,0,5.0,1,589,302201_812941937003_0712,-
932207,932103,P,2061,0,5.0,1,589,302201_812941937003_0712,-
644803,644708,P,2154,0,5.0,1,371,303953_816495253508_0712,-
644803,644708,P,2052,0,5.0,1,371,303953_816495253508_0712,-
657705,657907,P,2070,0,5.0,1,519,303955_816499644803_0712,-
638003,657907,P,2070,0,5.0,1,519,303955_816499644803_0712,-
801405,800008,P,2052,0,5.0,1,241,303977_816575828501_0712,-
801405,800008,P,2052,0,5.0,1,241,303977_816575828501_0712,-
602001,606303,P,2070,0,5.0,1,1424,289315_751647657705_0712,-
602001,606303,P,2070,0,5.0,1,1424,289315_751647657705_0712,-
650804,650700,P,2070,0,5.0,1,371,305164_819044801405_0712,-
651008,650700,P,2052,0,5.0,1,583,305164_819044801405_0712,-
651008,650700,P,2052,0,5.0,1,583,305164_819044801405_0712,-
883809,883903,P,2070,0,5.0,1,519,307464_827140853109_0712,-
883809,883903,P,2070,0,5.0,1,519,307464_827140853109_0712,-
883809,883903,P,2070,0,5.0,1,519,307464_827140853109_0712,-
60800,196606,P,2070,0,5.0,1,2788,307865_828899200002_0712,-
60603,196606,P,2052,0,5.0,1,1084,307865_828899200002_0712,-
648908,648109,P,2050,0,5.0,1,2189,303899_816350774405_0712,-
648908,648109,P,2052,0,5.0,1,2189,303899_816350774405_0712,-
657606,659006,P,2158,0,5.0,1,2189,303941_821550780302_0712,-
657606,659006,P,2041,0,5.0,1,2189,303941_821550780302_0712,-
657606,659006,P,2134,0,5.0,1,2189,303941_821550780302_0712,-
194901,192605,P,2154,0,5.0,1,3210,307939_829240618207_0712,-
233608,192605,P,2070,0,5.0,1,1892,307939_829240618207_0712,-
233608,192605,P,2070,0,5.0,1,1892,307939_829240618207_0712,-
581106,439305,P,2141,0,5.0,1,1084,303450_815439184100_0712,-
438302,439305,P,2144,0,5.0,1,1203,303450_815439184100_0712,-
652706,652602,P,2070,0,5.0,1,241,303467_815496680509_0712,-
760506,761602,P,2070,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2070,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2164,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2070,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2071,0,5.0,1,1391,303524_825559684001_0712,-
761104,761602,P,2070,0,5.0,1,816,303524_825559684001_0712,-
760506,761602,P,2070,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2070,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2070,0,5.0,1,1391,303524_825559684001_0712,-
760506,761602,P,2061,0,5.0,1,1391,303524_825559684001_0712,-
761405,761602,P,2070,0,5.0,1,519,303524_825559684001_0712,-
644803,644708,P,2154,0,5.0,1,371,303953_823543521001_0712,-
644803,644708,P,2052,0,5.0,1,371,303953_823543521001_0712,-
236606,235707,P,2061,0,5.0,1,1583,304701_818031510401_0712,-
236606,235707,P,2070,0,5.0,1,1583,304701_818031510401_0712,-
805302,805707,P,2146,0,5.0,1,1975,305128_818956261203_0712,-
805302,805707,P,2146,0,5.0,1,1975,305128_818956261203_0712,-
805302,805707,P,2053,0,5.0,1,1975,305128_818956261203_0712,-
654701,651807,P,2052,0,5.0,1,1859,307668_827819690002_0712,-
654701,651807,P,2052,0,5.0,1,1859,307668_827819690002_0712,-
654701,655206,P,2052,0,5.0,1,371,306769_826767971907_0712,-
60800,60302,P,2158,0,5.0,1,2050,302271_813088911605_0712,-
60603,60302,P,2050,0,5.0,1,383,302271_813088911605_0712,-
302507,302304,P,2070,0,5.0,1,56,302255_813042722400_0712,-
302507,302304,P,2070,0,5.0,1,56,302255_813042722400_0712,-
840109,846105,P,2070,0,5.0,1,1084,305145_818998946208_0712,-
840109,846105,P,2070,0,5.0,1,1084,305145_818998946208_0712,-
930409,932902,P,2070,0,6.0,1,4201,306019_822456780603_0708,-
932809,932902,P,2164,0,5.0,1,371,306019_822456780603_0708,-
180504,196606,P,2052,0,6.0,1,1583,307865_828899200002_0711,-
180504,196606,P,2052,0,6.0,1,1583,307865_828899200002_0711,-
180504,196606,P,2052,0,6.0,1,1583,307865_828899200002_0711,-
180504,196606,P,2061,0,6.0,1,1583,307865_828899200002_0711,-
607607,625501,P,2052,0,6.0,1,4201,308142_829974593300_0711,-
627206,625501,P,2071,0,6.0,1,3128,308142_829974593300_0711,-
251305,249409,P,2052,0,6.0,1,2168,281647_828739800205_0711,-
251305,249409,P,2052,0,6.0,1,2168,281647_828739800205_0711,-
252401,249409,P,2053,0,6.0,1,6327,281647_828739800205_0711,-
250707,249409,P,2052,0,6.0,1,4379,281647_828739800205_0711,-
248105,644708,P,2146,0,6.0,1,7774,303953_816496800101_0712,-
638003,644708,P,2070,0,6.0,1,7774,303953_816496800101_0712,-
250707,252401,P,2052,0,6.0,1,4379,304384_817373780209_0712,-
251305,252401,P,2061,0,5.0,1,1839,304384_817373780209_0712,-
250707,252401,P,2070,0,6.0,1,4379,304384_817373780209_0712,-
250707,252401,P,2052,0,6.0,1,4379,304384_817373780209_0712,-
250001,252401,P,2070,0,6.0,1,2703,304384_817373780209_0712,-
250001,252401,P,2070,0,6.0,1,2703,304384_817373780209_0712,-
250001,252401,P,2070,0,6.0,1,2703,304384_817373780209_0712,-
250707,252401,P,2052,0,6.0,1,4379,304384_817373780209_0712,-
250001,252401,P,2043,0,6.0,1,2703,304384_817373780209_0712,-
250001,252401,P,2043,0,6.0,1,2703,304384_817373780209_0712,-
654701,650700,P,2052,0,6.0,1,5881,305164_819041774405_0712,-
648908,650700,P,2052,0,6.0,1,7774,305164_819041774405_0712,-
930108,932103,P,2040,0,5.0,1,1391,306707_824626892103_0712,-
923104,932103,P,2071,0,6.0,1,5881,306707_824626892103_0712,-
60800,64303,P,2070,0,6.0,1,4864,307130_829924610205_0712,-
60603,64303,P,2052,0,6.0,1,3900,307130_829924610205_0712,-
61502,64303,P,2088,0,6.0,1,3830,307130_829924610205_0712,-
61502,64303,P,2052,0,6.0,1,3830,307130_829924610205_0712,-
210108,200500,P,2070,0,6.0,1,4176,307530_827263617806_0712,-
208108,200500,P,2070,0,6.0,1,4864,307530_827263617806_0712,-
208108,200500,P,2070,0,6.0,1,4864,307530_827263617806_0712,-
208108,200500,P,2052,0,6.0,1,4864,307530_827263617806_0712,-
943701,943108,P,2052,0,6.0,1,3210,308014_829485920002_0712,-
194901,194009,P,2154,0,6.0,1,1262,306556_824227525407_0712,-
180504,194009,P,2070,0,6.0,1,1247,306556_824227525407_0712,-
180504,194009,P,2070,0,6.0,1,1247,306556_824227525407_0712,-
180504,194009,P,2070,0,6.0,1,1247,306556_824227525407_0712,-
180504,194009,P,2070,0,6.0,1,1247,306556_824227525407_0712,-
180504,194009,P,2070,0,6.0,1,1247,306556_824227525407_0712,-
60800,194009,P,2070,0,6.0,1,3210,306556_824227525407_0712,-
770300,785109,P,2071,0,6.0,1,5362,306759_824907870405_0712,-
770300,785109,P,2154,0,6.0,1,5362,306759_824907870405_0712,-
770300,785109,P,2146,0,6.0,1,5362,306759_824907870405_0712,-
792600,785109,P,2052,0,6.0,1,2718,306759_824907870405_0712,-
792600,785607,P,2052,0,6.0,1,2718,306767_824929870405_0712,-
770300,785607,P,2155,0,6.0,1,5881,306767_824929870405_0712,-
582005,597104,P,2146,0,5.0,1,2189,302282_813110035508_0712,-
592401,597104,P,2050,0,6.0,1,6451,302282_813110035508_0712,-
592401,597104,P,2052,0,6.0,1,6451,302282_813110035508_0712,-
812407,652602,P,2052,0,6.0,1,6809,303083_814723520901_0712,-
435501,205307,P,2067,0,6.0,1,7774,304746_818134770300_0712,-
435501,205307,P,2070,0,6.0,1,7774,304746_818134770300_0712,-
828501,826402,P,2146,0,6.0,1,3485,304774_827464607607_0712,-
828501,826402,P,2146,0,6.0,1,3485,304774_827464607607_0712,-
800205,805707,P,2052,0,6.0,1,3830,305128_818955225902_0712,-
803307,805707,P,2043,0,6.0,1,4201,305128_818955225902_0712,-
801405,805707,P,2049,0,6.0,1,3830,305128_818955225902_0712,-
803909,805707,P,2070,0,6.0,1,10743,305128_818955225902_0712,-
648503,650700,P,2140,0,6.0,1,8263,305164_819043853306_0712,-
648503,650700,P,2158,0,6.0,1,8263,305164_819043853306_0712,-
648503,650700,P,2158,0,6.0,1,8263,305164_819043853306_0712,-
50009,42003,P,2153,0,6.0,1,3369,306450_824018780603_0712,-
51905,42003,P,2153,0,6.0,1,4074,306450_824018780603_0712,-
51905,42003,P,2153,0,6.0,1,4074,306450_824018780603_0712,-
250001,248603,P,2163,0,6.0,1,6327,306559_824252035508_0712,-
250001,248603,P,2061,0,6.0,1,6327,306559_824252035508_0712,-
250001,248603,P,2052,0,6.0,1,6327,306559_824252035508_0712,-
250001,248603,P,2052,0,6.0,1,6327,306559_824252035508_0712,-
237609,190205,P,2052,0,6.0,1,5205,307630_827613792102_0712,-
237609,190205,P,2043,0,6.0,1,5205,307630_827613792102_0712,-
237609,190205,P,2070,0,6.0,1,5205,307630_827613792102_0712,-
237609,190205,P,2070,0,6.0,1,5205,307630_827613792102_0712,-
225902,190205,P,2052,0,6.0,1,3485,307630_827613792102_0712,-
225902,190205,P,2070,0,6.0,1,3485,307630_827613792102_0712,-
191509,190205,P,2052,0,6.0,1,2764,307630_827613792102_0712,-
194206,198404,P,2135,0,6.0,1,1892,302218_812966780800_0712,-
194403,198404,P,2041,0,6.0,1,1892,302218_812966780800_0712,-
180504,198404,P,2137,0,6.0,1,1247,302218_812966780800_0712,-
180608,198404,P,2144,0,6.0,1,1564,302218_812966780800_0712,-
180608,198404,P,2144,0,6.0,1,1564,302218_812966780800_0712,-
180608,198404,P,2144,0,6.0,1,1564,302218_812966780800_0712,-
180608,198404,P,2144,0,6.0,1,1564,302218_812966780800_0712,-
180608,198404,P,2144,0,6.0,1,1564,302218_812966780800_0712,-
194403,198404,P,2140,0,6.0,1,1892,302218_812966780800_0712,-
194403,198404,P,2140,0,6.0,1,1892,302218_812966780800_0712,-
194507,196803,P,2061,0,6.0,1,3210,303103_814763780800_0712,-
194507,196803,P,2061,0,6.0,1,3210,303103_814763780800_0712,-
194403,196803,P,2070,0,6.0,1,2764,303103_814763780800_0712,-
194403,196803,P,2070,0,6.0,1,2764,303103_814763780800_0712,-
243607,231000,P,2070,0,6.0,1,7774,304360_817325018606_0712,-
243607,231000,P,2043,0,6.0,1,7774,304360_817325018606_0712,-
243607,231000,P,2052,0,6.0,1,7774,304360_817325018606_0712,-
243607,231000,P,2052,0,6.0,1,7774,304360_817325018606_0712,-
243607,231000,P,2061,0,6.0,1,7774,304360_817325018606_0712,-
230506,231000,P,2052,0,5.0,1,1113,304360_817325018606_0712,-
180608,193805,P,2155,0,6.0,1,1564,305151_819006780001_0712,-
180608,193805,P,2155,0,6.0,1,1564,305151_819006780001_0712,-
194403,193805,P,2146,0,6.0,1,371,305151_819006780001_0712,-
194403,194206,P,2070,0,5.0,1,56,306646_830077287805_0712,-
194403,194206,P,2070,0,5.0,1,56,306646_830077287805_0712,-
194403,194206,P,2070,0,5.0,1,56,306646_830077287805_0712,-
300304,305007,P,2146,0,6.0,1,3595,304380_829943289904_0712,-
310005,305007,P,2164,0,5.0,1,4073,304380_829943289904_0712,-
237401,305007,P,2164,0,6.0,1,3340,304380_829943289904_0712,-
225902,225300,P,2041,0,6.0,1,3128,305364_819913780302_0712,-
210108,225300,P,2155,0,6.0,1,6077,305364_819913780302_0712,-
225902,225300,P,2146,0,6.0,1,3128,305364_819913780302_0712,-
592401,225300,P,2146,0,6.0,1,4879,305364_819913780302_0712,-
770300,785109,P,2044,0,6.0,1,5362,306759_824908890502_0712,-
780001,785109,P,2070,0,5.0,1,965,306759_824908890502_0712,-
31302,54104,P,2070,0,6.0,1,5881,306926_829923611602_0712,-
31302,54104,P,2070,0,6.0,1,5881,306926_829923611602_0712,-
31302,54104,P,2052,0,6.0,1,5881,306926_829923611602_0712,-
30203,54104,P,2070,0,6.0,1,5599,306926_829923611602_0712,-
30203,54104,P,2070,0,6.0,1,5599,306926_829923611602_0712,-
51905,54104,P,2061,0,6.0,1,2864,306926_829923611602_0712,-
51905,54104,P,2070,0,6.0,1,2864,306926_829923611602_0712,-
51905,54104,P,2070,0,6.0,1,2864,306926_829923611602_0712,-
51905,54104,P,2070,0,6.0,1,2864,306926_829923611602_0712,-
40008,54104,P,2052,0,6.0,1,4864,306926_829923611602_0712,-
48601,54104,P,2052,0,6.0,1,4176,306926_829923611602_0712,-
61502,54104,P,2088,0,6.0,1,4864,306926_829923611602_0712,-
61502,54104,P,2052,0,6.0,1,4864,306926_829923611602_0712,-
31302,54104,P,2070,0,6.0,1,5881,306926_829923611602_0712,-
18409,14906,P,2052,0,6.0,1,7291,306933_829920275300_0712,-
18606,14906,P,2052,0,6.0,1,7291,306933_829920275300_0712,-
18606,14906,P,2043,0,6.0,1,7291,306933_829920275300_0712,-
18409,14906,P,2070,0,6.0,1,7291,306933_829920275300_0712,-
194403,195800,P,2146,0,6.0,1,1892,296014_772919289503_0712,-
194300,195800,P,2146,0,6.0,1,1892,296014_772919289503_0712,-
194403,235507,P,2070,0,6.0,1,4073,302612_822390532909_0712,-
194403,235507,P,2043,0,6.0,1,4073,302612_822390532909_0712,-
194403,235507,P,2052,0,6.0,1,4073,302612_822390532909_0712,-
638003,659006,P,2052,0,5.0,1,2486,302628_821524690200_0712,-
657705,659006,P,2043,0,5.0,1,2486,302628_821524690200_0712,-
657606,659006,P,2052,0,5.0,1,2189,302628_821524690200_0712,-
657606,659006,P,2164,0,5.0,1,2189,302628_821524690200_0712,-
657606,659006,P,2053,0,5.0,1,2189,302628_821524690200_0712,-
638003,659006,P,2164,0,5.0,1,2486,302628_821543690002_0712,-
638003,659006,P,2052,0,5.0,1,2486,302628_821543690002_0712,-
637104,659006,P,2052,0,6.0,1,4879,302628_821543690002_0712,-
638003,659006,P,2052,0,5.0,1,2486,302628_821543690002_0712,-
638003,659006,P,2052,0,5.0,1,2486,302628_821543690002_0712,-
657606,659006,P,2052,0,5.0,1,2189,302628_821543690002_0712,-
780001,780603,P,2062,0,5.0,1,371,302700_813970696102_0712,-
180608,194009,P,2053,0,6.0,1,1564,303478_825998289503_0712,-
193203,194009,P,2146,0,6.0,1,2351,303478_825998289503_0712,-
180608,194009,P,2164,0,6.0,1,1564,303478_825998289503_0712,-
180608,194009,P,2071,0,6.0,1,1564,303478_825998289503_0712,-
194403,194009,P,2041,0,6.0,1,668,303478_825998289503_0712,-
180504,194009,P,2050,0,6.0,1,1247,303478_825998289503_0712,-
180608,194009,P,2041,0,6.0,1,1564,303478_825998289503_0712,-
194403,194009,P,2164,0,6.0,1,668,303478_825998289503_0712,-
190008,194009,P,2071,0,6.0,1,1596,303478_825998289503_0712,-
198002,194009,P,2071,0,6.0,1,1140,303478_825998289503_0712,-
198002,194009,P,2071,0,6.0,1,1140,303478_825998289503_0712,-
180805,194009,P,2155,0,6.0,1,2486,303478_825998289503_0712,-
180805,194009,P,2041,0,6.0,1,2486,303478_825998289503_0712,-
180805,194009,P,2050,0,6.0,1,2486,303478_825998289503_0712,-
180805,194009,P,2146,0,6.0,1,2486,303478_825998289503_0712,-
180805,194009,P,2137,0,6.0,1,2486,303478_825998289503_0712,-
180805,194009,P,2140,0,6.0,1,2486,303478_825998289503_0712,-
193203,194009,P,2041,0,6.0,1,2351,303478_825998289503_0712,-
197907,194009,P,2146,0,6.0,1,914,303478_825998289503_0712,-
892103,893500,P,2053,0,6.0,1,9321,304316_817256946801_0712,-
892103,893500,P,2053,0,6.0,1,9321,304316_817256946801_0712,-
194403,192107,P,2052,0,6.0,1,4379,304724_829827289904_0712,-
194403,192107,P,2061,0,6.0,1,4379,304724_829827289904_0712,-
237609,194206,P,2062,0,5.0,1,3210,306773_824936831203_0712,-
225902,194206,P,2041,0,6.0,1,4864,306773_824936831203_0712,-
243607,194206,P,2071,0,6.0,1,7291,306773_824936831203_0712,-
194403,191804,P,2061,0,6.0,1,3875,308198_830150289904_0712,-
228101,191804,P,2061,0,6.0,1,5362,308198_830150289904_0712,-
210108,229602,P,2155,0,6.0,1,5530,307984_829407289904_0712,-
225902,229602,P,2146,0,5.0,1,2293,307984_829407289904_0712,-
228101,229602,P,2061,0,6.0,1,4879,307984_829407289904_0712,-
228101,229602,P,2061,0,6.0,1,4879,307984_829407289904_0712,-
228101,229602,P,2061,0,6.0,1,4879,307984_829407289904_0712,-
228101,229602,P,2091,0,6.0,1,4879,307984_829407289904_0712,-
230506,198508,P,2071,0,6.0,1,2189,304293_817216792102_0712,-
234808,198508,P,2140,0,6.0,1,1892,304293_817216792102_0712,-
234808,198508,P,2044,0,6.0,1,1892,304293_817216792102_0712,-
230205,195800,P,2137,0,6.0,1,1892,304736_827011801208_0712,-
230205,195800,P,2050,0,6.0,1,1892,304736_827011801208_0712,-
230205,195800,P,2050,0,6.0,1,1892,304736_827011801208_0712,-
230205,195800,P,2071,0,6.0,1,1892,304736_827011801208_0712,-
230205,195800,P,2053,0,6.0,1,1892,304736_827011801208_0712,-
230205,195800,P,2164,0,6.0,1,1892,304736_827011801208_0712,-
33502,30006,P,2068,0,6.0,1,668,304775_824967780603_0712,-
33502,30006,P,2146,0,6.0,1,668,304775_824967780603_0712,-
82104,30006,P,2164,0,6.0,1,7309,304775_824967780603_0712,-
82104,30006,P,2164,0,6.0,1,7309,304775_824967780603_0712,-
250800,249409,P,2140,0,6.0,1,4319,281647_828750888004_0712,-
250707,249409,P,2070,0,6.0,1,4379,281647_828750888004_0712,-
250707,249409,P,2071,0,6.0,1,4379,281647_828750888004_0712,-
230205,230309,P,2137,0,5.0,1,117,294762_770473850505_0712,-
230205,230309,P,2050,0,5.0,1,117,294762_770473850505_0712,-
230205,230309,P,2050,0,5.0,1,117,294762_770473850505_0712,-
607607,630209,P,2068,0,6.0,1,3485,301846_812138547001_0712,-
607607,630209,P,2155,0,6.0,1,3485,301846_812138547001_0712,-
607607,630209,P,2071,0,6.0,1,3485,301846_812138547001_0712,-
930108,932103,P,2070,0,5.0,1,1391,302201_812940950008_0712,-
930108,932103,P,2070,0,5.0,1,1391,302201_812940950008_0712,-
930108,932103,P,2070,0,5.0,1,1391,302201_812940950008_0712,-
191509,194507,P,2052,0,6.0,1,1564,303033_814638851207_0712,-
191509,194507,P,2052,0,6.0,1,1564,303033_814638851207_0712,-
10905,11804,P,2070,0,6.0,1,5881,303452_815450808300_0712,-
10905,11804,P,2070,0,6.0,1,5881,303452_815450808300_0712,-
10905,11804,P,2070,0,6.0,1,5881,303452_815450808300_0712,-
10905,11804,P,2070,0,6.0,1,5881,303452_815450808300_0712,-
10905,11804,P,2070,0,6.0,1,5881,303452_815450808300_0712,-
10905,11804,P,2052,0,6.0,1,5881,303452_815450808300_0712,-
10905,11804,P,2052,0,6.0,1,5881,303452_815450808300_0712,-
11400,11804,P,2043,1,6.0,1,1839,303452_815450808300_0712,-
652706,652602,P,2052,0,5.0,1,241,303467_815487033004_0712,-
652706,652602,P,2052,0,5.0,1,241,303467_815487033004_0712,-
652706,652602,P,2070,0,5.0,1,241,303467_815487033004_0712,-
651008,652602,P,2052,0,6.0,1,5977,303467_815487033004_0712,-
651008,652602,P,2070,0,6.0,1,5977,303467_815487033004_0712,-
828501,803203,P,2146,0,6.0,1,5553,303885_827306926403_0712,-
828501,803203,P,2053,0,6.0,1,5553,303885_827306926403_0712,-
33502,32406,P,2135,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2135,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2052,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2070,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2070,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2070,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2070,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2144,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2141,0,6.0,1,965,304395_817397778406_0712,-
33502,32406,P,2153,0,6.0,1,965,304395_817397778406_0712,-
31302,32406,P,2070,0,6.0,1,2486,304395_817397778406_0712,-
31302,32406,P,2070,0,6.0,1,2486,304395_817397778406_0712,-
82104,32406,P,2153,0,6.0,1,8020,304395_817397778406_0712,-
82104,32406,P,2164,0,6.0,1,8020,304395_817397778406_0712,-
82104,32406,P,2061,0,6.0,1,8020,304395_817401828501_0712,-
82104,32406,P,2061,0,6.0,1,8020,304395_817401828501_0712,-
31302,32406,P,2052,0,6.0,1,2486,304395_817401828501_0712,-
30203,32406,P,2070,0,6.0,1,2200,304395_817401828501_0712,-
30203,32406,P,2070,0,6.0,1,2200,304395_817401828501_0712,-
34007,32406,P,2041,0,6.0,1,3225,304395_817401828501_0712,-
34007,32406,P,2062,0,6.0,1,3225,304395_817401828501_0712,-
31302,32406,P,2135,0,6.0,1,2486,304395_817401828501_0712,-
34007,32406,P,2137,0,6.0,1,3225,304395_817401828501_0712,-
82104,32406,P,2070,0,6.0,1,8020,304395_817401828501_0712,-
82104,32406,P,2070,0,6.0,1,8020,304395_817401828501_0712,-
82104,32406,P,2070,0,6.0,1,8020,304395_817401828501_0712,-
82104,32406,P,2070,0,6.0,1,8020,304395_817401828501_0712,-
33004,32406,P,2052,0,6.0,1,765,304395_817401828501_0712,-
35508,32406,P,2061,0,6.0,1,1262,304395_817401828501_0712,-
35508,32406,P,2070,0,6.0,1,1262,304395_817401828501_0712,-
35809,32406,P,2135,0,6.0,1,1430,304395_817401828501_0712,-
831203,830304,P,2155,0,5.0,1,519,306066_822615936903_0712,-
35809,33409,P,2068,0,6.0,1,757,306772_824935831203_0712,-
35809,33409,P,2068,0,6.0,1,757,306772_824935831203_0712,-
18409,14906,P,2070,0,6.0,1,7291,306933_829919610101_0712,-
18409,14906,P,2070,0,6.0,1,7291,306933_829919610101_0712,-
18409,14906,P,2070,0,6.0,1,7291,306933_829919610101_0712,-
18409,14906,P,2070,0,6.0,1,7291,306933_829919610101_0712,-
613608,612003,P,2070,0,6.0,1,6809,302677_813923799309_0712,-
613608,612003,P,2070,0,6.0,1,6809,302677_813923799309_0712,-
615500,612003,P,2052,0,6.0,1,1062,302677_813923799309_0712,-
300605,302304,P,2070,0,6.0,1,6451,302698_813962667909_0712,-
300605,302304,P,2070,0,6.0,1,6451,302698_813962667909_0712,-
191509,190008,P,2052,0,6.0,1,241,304289_817210850204_0712,-
191509,190008,P,2052,0,6.0,1,241,304289_817210850204_0712,-
191509,198508,P,2052,0,6.0,1,2351,304293_817217850204_0712,-
191509,198508,P,2052,0,6.0,1,2351,304293_817217850204_0712,-
191509,198508,P,2052,0,6.0,1,2351,304293_817217850204_0712,-
230205,190008,P,2071,0,6.0,1,1892,306285_823481850204_0712,-
230205,190008,P,2053,0,6.0,1,1892,306285_823481850204_0712,-
230205,190008,P,2164,0,6.0,1,1892,306285_823481850204_0712,-
72403,70709,P,2070,0,6.0,1,3900,302666_813896853109_0712,-
72403,70709,P,2070,0,6.0,1,3900,302666_813896853109_0712,-
35809,31808,P,2068,0,6.0,1,757,302694_813956850204_0712,-
35809,31808,P,2068,0,6.0,1,757,302694_813956850204_0712,-
35809,32406,P,2135,0,6.0,1,1430,304395_817400853109_0712,-
35809,32406,P,2135,0,6.0,1,1430,304395_817400853109_0712,-
35809,32406,P,2135,0,6.0,1,1430,304395_817400853109_0712,-
